date,stepn
2022-03-09,0.13573810770613645
2022-03-10,0.13573810770613645
2022-03-11,0.11723373319105394
2022-03-12,0.1607140142961829
2022-03-13,0.29293798781770214
2022-03-14,0.40472081014321915
2022-03-15,0.3594291073135406
2022-03-16,0.33340906720471614
2022-03-17,0.5538559682659231
2022-03-18,0.8423008441837145
2022-03-19,0.699777773737044
2022-03-20,0.6760433703380553
2022-03-21,0.5770163893465708
2022-03-22,0.7919941198235887
2022-03-23,0.7989183488962466
2022-03-24,0.7679417862627566
2022-03-25,0.7063754949921468
2022-03-26,0.7801314047524779
2022-03-27,0.7618039267753853
2022-03-28,0.7688682713351049
2022-03-29,1.1268366936474339
2022-03-30,1.6913299975436447
2022-03-31,2.038311761708365
2022-04-01,2.488590546346451
2022-04-02,2.684604730433468
2022-04-03,2.2980808977583664
2022-04-04,2.4639180849036046
2022-04-05,2.1721216983139744
2022-04-06,2.123709424689282
2022-04-07,2.311185742116235
2022-04-08,2.1961799749359563
2022-04-09,2.1761933657499117
2022-04-10,2.301402010190717
2022-04-11,2.2732043915228948
2022-04-12,2.385146654991834
2022-04-13,2.227435445632138
2022-04-14,2.1796209804287825
2022-04-15,2.230116771652969
2022-04-16,2.3072377144420746
2022-04-17,2.382381744453843
2022-04-18,2.439574541457189
2022-04-19,3.1869159715500985
2022-04-20,3.7100757788898955
2022-04-21,3.356411184035301
2022-04-22,3.1233176232717623
2022-04-23,3.177237000126508
2022-04-24,3.1488162462705898
2022-04-25,3.3700459300413743
2022-04-26,3.2642647073003093
2022-04-27,3.340749646014301
2022-04-28,3.80273341835397
2022-04-29,3.7501963404634955
2022-04-30,3.834993100979751
2022-05-01,3.5314205242010637
